Date,Food Item,Sales,Price,Category
2024-08-23,Aloo Tikki Burger,71,49,Burger
2024-08-23,Aloo Tikki Twist,83,69,Burger
2024-08-23,Veg Makhani,63,79,Burger
2024-08-23,Crispy Veg Burger,32,99,Burger
2024-08-23,Veg Chilly Loaded Burger,97,99,Burger
2024-08-23,Desi Masala Crunch,68,119,Burger
2024-08-23,Punjabi Paneer,22,109,Burger
2024-08-23,Veg King Burger,20,99,Burger
2024-08-23,Paneer Supreme Burger,97,129,Burger
2024-08-23,Double Crispy Cheese Burger,63,129,Burger
2024-08-24,Aloo Tikki Burger,55,49,Burger
2024-08-24,Aloo Tikki Twist,69,69,Burger
2024-08-24,Veg Makhani,27,79,Burger
2024-08-24,Crispy Veg Burger,94,99,Burger
2024-08-24,Veg Chilly Loaded Burger,93,99,Burger
2024-08-24,Desi Masala Crunch,53,119,Burger
2024-08-24,Punjabi Paneer,32,109,Burger
2024-08-24,Veg King Burger,25,99,Burger
2024-08-24,Paneer Supreme Burger,21,129,Burger
2024-08-24,Double Crispy Cheese Burger,54,129,Burger
2024-08-25,Aloo Tikki Burger,94,49,Burger
2024-08-25,Aloo Tikki Twist,35,69,Burger
2024-08-25,Veg Makhani,37,79,Burger
2024-08-25,Crispy Veg Burger,31,99,Burger
2024-08-25,Veg Chilly Loaded Burger,25,99,Burger
2024-08-25,Desi Masala Crunch,54,119,Burger
2024-08-25,Punjabi Paneer,26,109,Burger
2024-08-25,Veg King Burger,77,99,Burger
2024-08-25,Paneer Supreme Burger,85,129,Burger
2024-08-25,Double Crispy Cheese Burger,51,129,Burger
2024-08-26,Aloo Tikki Burger,70,49,Burger
2024-08-26,Aloo Tikki Twist,92,69,Burger
2024-08-26,Veg Makhani,24,79,Burger
2024-08-26,Crispy Veg Burger,75,99,Burger
2024-08-26,Veg Chilly Loaded Burger,63,99,Burger
2024-08-26,Desi Masala Crunch,43,119,Burger
2024-08-26,Punjabi Paneer,85,109,Burger
2024-08-26,Veg King Burger,54,99,Burger
2024-08-26,Paneer Supreme Burger,69,129,Burger
2024-08-26,Double Crispy Cheese Burger,84,129,Burger
2024-08-27,Aloo Tikki Burger,67,49,Burger
2024-08-27,Aloo Tikki Twist,75,69,Burger
2024-08-27,Veg Makhani,47,79,Burger
2024-08-27,Crispy Veg Burger,67,99,Burger
2024-08-27,Veg Chilly Loaded Burger,83,99,Burger
2024-08-27,Desi Masala Crunch,90,119,Burger
2024-08-27,Punjabi Paneer,42,109,Burger
2024-08-27,Veg King Burger,36,99,Burger
2024-08-27,Paneer Supreme Burger,45,129,Burger
2024-08-27,Double Crispy Cheese Burger,82,129,Burger
2024-08-28,Aloo Tikki Burger,21,49,Burger
2024-08-28,Aloo Tikki Twist,98,69,Burger
2024-08-28,Veg Makhani,86,79,Burger
2024-08-28,Crispy Veg Burger,21,99,Burger
2024-08-28,Veg Chilly Loaded Burger,32,99,Burger
2024-08-28,Desi Masala Crunch,90,119,Burger
2024-08-28,Punjabi Paneer,87,109,Burger
2024-08-28,Veg King Burger,55,99,Burger
2024-08-28,Paneer Supreme Burger,87,129,Burger
2024-08-28,Double Crispy Cheese Burger,82,129,Burger
2024-08-29,Aloo Tikki Burger,83,49,Burger
2024-08-29,Aloo Tikki Twist,40,69,Burger
2024-08-29,Veg Makhani,83,79,Burger
2024-08-29,Crispy Veg Burger,62,99,Burger
2024-08-29,Veg Chilly Loaded Burger,33,99,Burger
2024-08-29,Desi Masala Crunch,52,119,Burger
2024-08-29,Punjabi Paneer,68,109,Burger
2024-08-29,Veg King Burger,53,99,Burger
2024-08-29,Paneer Supreme Burger,32,129,Burger
2024-08-29,Double Crispy Cheese Burger,53,129,Burger
2024-08-30,Aloo Tikki Burger,77,49,Burger
2024-08-30,Aloo Tikki Twist,30,69,Burger
2024-08-30,Veg Makhani,31,79,Burger
2024-08-30,Crispy Veg Burger,22,99,Burger
2024-08-30,Veg Chilly Loaded Burger,26,99,Burger
2024-08-30,Desi Masala Crunch,90,119,Burger
2024-08-30,Punjabi Paneer,64,109,Burger
2024-08-30,Veg King Burger,60,99,Burger
2024-08-30,Paneer Supreme Burger,26,129,Burger
2024-08-30,Double Crispy Cheese Burger,92,129,Burger
2024-08-31,Aloo Tikki Burger,65,49,Burger
2024-08-31,Aloo Tikki Twist,88,69,Burger
2024-08-31,Veg Makhani,70,79,Burger
2024-08-31,Crispy Veg Burger,54,99,Burger
2024-08-31,Veg Chilly Loaded Burger,79,99,Burger
2024-08-31,Desi Masala Crunch,77,119,Burger
2024-08-31,Punjabi Paneer,63,109,Burger
2024-08-31,Veg King Burger,99,99,Burger
2024-08-31,Paneer Supreme Burger,76,129,Burger
2024-08-31,Double Crispy Cheese Burger,83,129,Burger
2024-09-01,Aloo Tikki Burger,46,49,Burger
2024-09-01,Aloo Tikki Twist,65,69,Burger
2024-09-01,Veg Makhani,63,79,Burger
2024-09-01,Crispy Veg Burger,67,99,Burger
2024-09-01,Veg Chilly Loaded Burger,33,99,Burger
2024-09-01,Desi Masala Crunch,53,119,Burger
2024-09-01,Punjabi Paneer,54,109,Burger
2024-09-01,Veg King Burger,39,99,Burger
2024-09-01,Paneer Supreme Burger,30,129,Burger
2024-09-01,Double Crispy Cheese Burger,28,129,Burger
2024-09-02,Aloo Tikki Burger,31,49,Burger
2024-09-02,Aloo Tikki Twist,72,69,Burger
2024-09-02,Veg Makhani,81,79,Burger
2024-09-02,Crispy Veg Burger,31,99,Burger
2024-09-02,Veg Chilly Loaded Burger,36,99,Burger
2024-09-02,Desi Masala Crunch,91,119,Burger
2024-09-02,Punjabi Paneer,78,109,Burger
2024-09-02,Veg King Burger,88,99,Burger
2024-09-02,Paneer Supreme Burger,33,129,Burger
2024-09-02,Double Crispy Cheese Burger,60,129,Burger
2024-09-03,Aloo Tikki Burger,70,49,Burger
2024-09-03,Aloo Tikki Twist,56,69,Burger
2024-09-03,Veg Makhani,42,79,Burger
2024-09-03,Crispy Veg Burger,91,99,Burger
2024-09-03,Veg Chilly Loaded Burger,42,99,Burger
2024-09-03,Desi Masala Crunch,90,119,Burger
2024-09-03,Punjabi Paneer,94,109,Burger
2024-09-03,Veg King Burger,90,99,Burger
2024-09-03,Paneer Supreme Burger,23,129,Burger
2024-09-03,Double Crispy Cheese Burger,56,129,Burger
2024-09-04,Aloo Tikki Burger,80,49,Burger
2024-09-04,Aloo Tikki Twist,87,69,Burger
2024-09-04,Veg Makhani,33,79,Burger
2024-09-04,Crispy Veg Burger,53,99,Burger
2024-09-04,Veg Chilly Loaded Burger,63,99,Burger
2024-09-04,Desi Masala Crunch,32,119,Burger
2024-09-04,Punjabi Paneer,50,109,Burger
2024-09-04,Veg King Burger,95,99,Burger
2024-09-04,Paneer Supreme Burger,86,129,Burger
2024-09-04,Double Crispy Cheese Burger,50,129,Burger
2024-09-05,Aloo Tikki Burger,93,49,Burger
2024-09-05,Aloo Tikki Twist,99,69,Burger
2024-09-05,Veg Makhani,48,79,Burger
2024-09-05,Crispy Veg Burger,63,99,Burger
2024-09-05,Veg Chilly Loaded Burger,31,99,Burger
2024-09-05,Desi Masala Crunch,52,119,Burger
2024-09-05,Punjabi Paneer,72,109,Burger
2024-09-05,Veg King Burger,38,99,Burger
2024-09-05,Paneer Supreme Burger,67,129,Burger
2024-09-05,Double Crispy Cheese Burger,25,129,Burger
2024-09-06,Aloo Tikki Burger,71,49,Burger
2024-09-06,Aloo Tikki Twist,43,69,Burger
2024-09-06,Veg Makhani,48,79,Burger
2024-09-06,Crispy Veg Burger,34,99,Burger
2024-09-06,Veg Chilly Loaded Burger,47,99,Burger
2024-09-06,Desi Masala Crunch,69,119,Burger
2024-09-06,Punjabi Paneer,37,109,Burger
2024-09-06,Veg King Burger,83,99,Burger
2024-09-06,Paneer Supreme Burger,75,129,Burger
2024-09-06,Double Crispy Cheese Burger,31,129,Burger
2024-09-07,Aloo Tikki Burger,45,49,Burger
2024-09-07,Aloo Tikki Twist,28,69,Burger
2024-09-07,Veg Makhani,80,79,Burger
2024-09-07,Crispy Veg Burger,40,99,Burger
2024-09-07,Veg Chilly Loaded Burger,91,99,Burger
2024-09-07,Desi Masala Crunch,55,119,Burger
2024-09-07,Punjabi Paneer,29,109,Burger
2024-09-07,Veg King Burger,33,99,Burger
2024-09-07,Paneer Supreme Burger,99,129,Burger
2024-09-07,Double Crispy Cheese Burger,78,129,Burger
2024-09-08,Aloo Tikki Burger,46,49,Burger
2024-09-08,Aloo Tikki Twist,69,69,Burger
2024-09-08,Veg Makhani,88,79,Burger
2024-09-08,Crispy Veg Burger,35,99,Burger
2024-09-08,Veg Chilly Loaded Burger,62,99,Burger
2024-09-08,Desi Masala Crunch,45,119,Burger
2024-09-08,Punjabi Paneer,73,109,Burger
2024-09-08,Veg King Burger,73,99,Burger
2024-09-08,Paneer Supreme Burger,81,129,Burger
2024-09-08,Double Crispy Cheese Burger,98,129,Burger
2024-09-09,Aloo Tikki Burger,56,49,Burger
2024-09-09,Aloo Tikki Twist,42,69,Burger
2024-09-09,Veg Makhani,76,79,Burger
2024-09-09,Crispy Veg Burger,77,99,Burger
2024-09-09,Veg Chilly Loaded Burger,70,99,Burger
2024-09-09,Desi Masala Crunch,40,119,Burger
2024-09-09,Punjabi Paneer,38,109,Burger
2024-09-09,Veg King Burger,90,99,Burger
2024-09-09,Paneer Supreme Burger,84,129,Burger
2024-09-09,Double Crispy Cheese Burger,86,129,Burger
2024-09-10,Aloo Tikki Burger,78,49,Burger
2024-09-10,Aloo Tikki Twist,33,69,Burger
2024-09-10,Veg Makhani,39,79,Burger
2024-09-10,Crispy Veg Burger,45,99,Burger
2024-09-10,Veg Chilly Loaded Burger,93,99,Burger
2024-09-10,Desi Masala Crunch,31,119,Burger
2024-09-10,Punjabi Paneer,29,109,Burger
2024-09-10,Veg King Burger,75,99,Burger
2024-09-10,Paneer Supreme Burger,60,129,Burger
2024-09-10,Double Crispy Cheese Burger,88,129,Burger
2024-09-11,Aloo Tikki Burger,85,49,Burger
2024-09-11,Aloo Tikki Twist,23,69,Burger
2024-09-11,Veg Makhani,89,79,Burger
2024-09-11,Crispy Veg Burger,80,99,Burger
2024-09-11,Veg Chilly Loaded Burger,51,99,Burger
2024-09-11,Desi Masala Crunch,38,119,Burger
2024-09-11,Punjabi Paneer,48,109,Burger
2024-09-11,Veg King Burger,98,99,Burger
2024-09-11,Paneer Supreme Burger,42,129,Burger
2024-09-11,Double Crispy Cheese Burger,94,129,Burger
2024-09-12,Aloo Tikki Burger,56,49,Burger
2024-09-12,Aloo Tikki Twist,78,69,Burger
2024-09-12,Veg Makhani,95,79,Burger
2024-09-12,Crispy Veg Burger,30,99,Burger
2024-09-12,Veg Chilly Loaded Burger,26,99,Burger
2024-09-12,Desi Masala Crunch,23,119,Burger
2024-09-12,Punjabi Paneer,57,109,Burger
2024-09-12,Veg King Burger,22,99,Burger
2024-09-12,Paneer Supreme Burger,99,129,Burger
2024-09-12,Double Crispy Cheese Burger,69,129,Burger
2024-09-13,Aloo Tikki Burger,60,49,Burger
2024-09-13,Aloo Tikki Twist,34,69,Burger
2024-09-13,Veg Makhani,49,79,Burger
2024-09-13,Crispy Veg Burger,73,99,Burger
2024-09-13,Veg Chilly Loaded Burger,35,99,Burger
2024-09-13,Desi Masala Crunch,27,119,Burger
2024-09-13,Punjabi Paneer,85,109,Burger
2024-09-13,Veg King Burger,59,99,Burger
2024-09-13,Paneer Supreme Burger,89,129,Burger
2024-09-13,Double Crispy Cheese Burger,65,129,Burger
2024-09-14,Aloo Tikki Burger,90,49,Burger
2024-09-14,Aloo Tikki Twist,30,69,Burger
2024-09-14,Veg Makhani,89,79,Burger
2024-09-14,Crispy Veg Burger,84,99,Burger
2024-09-14,Veg Chilly Loaded Burger,63,99,Burger
2024-09-14,Desi Masala Crunch,55,119,Burger
2024-09-14,Punjabi Paneer,35,109,Burger
2024-09-14,Veg King Burger,99,99,Burger
2024-09-14,Paneer Supreme Burger,51,129,Burger
2024-09-14,Double Crispy Cheese Burger,31,129,Burger
2024-09-15,Aloo Tikki Burger,30,49,Burger
2024-09-15,Aloo Tikki Twist,62,69,Burger
2024-09-15,Veg Makhani,37,79,Burger
2024-09-15,Crispy Veg Burger,47,99,Burger
2024-09-15,Veg Chilly Loaded Burger,79,99,Burger
2024-09-15,Desi Masala Crunch,41,119,Burger
2024-09-15,Punjabi Paneer,92,109,Burger
2024-09-15,Veg King Burger,28,99,Burger
2024-09-15,Paneer Supreme Burger,58,129,Burger
2024-09-15,Double Crispy Cheese Burger,33,129,Burger
2024-09-16,Aloo Tikki Burger,34,49,Burger
2024-09-16,Aloo Tikki Twist,87,69,Burger
2024-09-16,Veg Makhani,56,79,Burger
2024-09-16,Crispy Veg Burger,48,99,Burger
2024-09-16,Veg Chilly Loaded Burger,66,99,Burger
2024-09-16,Desi Masala Crunch,44,119,Burger
2024-09-16,Punjabi Paneer,99,109,Burger
2024-09-16,Veg King Burger,52,99,Burger
2024-09-16,Paneer Supreme Burger,60,129,Burger
2024-09-16,Double Crispy Cheese Burger,37,129,Burger
2024-09-17,Aloo Tikki Burger,92,49,Burger
2024-09-17,Aloo Tikki Twist,89,69,Burger
2024-09-17,Veg Makhani,62,79,Burger
2024-09-17,Crispy Veg Burger,31,99,Burger
2024-09-17,Veg Chilly Loaded Burger,40,99,Burger
2024-09-17,Desi Masala Crunch,57,119,Burger
2024-09-17,Punjabi Paneer,86,109,Burger
2024-09-17,Veg King Burger,35,99,Burger
2024-09-17,Paneer Supreme Burger,79,129,Burger
2024-09-17,Double Crispy Cheese Burger,48,129,Burger
2024-09-18,Aloo Tikki Burger,65,49,Burger
2024-09-18,Aloo Tikki Twist,92,69,Burger
2024-09-18,Veg Makhani,49,79,Burger
2024-09-18,Crispy Veg Burger,91,99,Burger
2024-09-18,Veg Chilly Loaded Burger,40,99,Burger
2024-09-18,Desi Masala Crunch,22,119,Burger
2024-09-18,Punjabi Paneer,57,109,Burger
2024-09-18,Veg King Burger,28,99,Burger
2024-09-18,Paneer Supreme Burger,69,129,Burger
2024-09-18,Double Crispy Cheese Burger,75,129,Burger
2024-09-19,Aloo Tikki Burger,81,49,Burger
2024-09-19,Aloo Tikki Twist,41,69,Burger
2024-09-19,Veg Makhani,25,79,Burger
2024-09-19,Crispy Veg Burger,51,99,Burger
2024-09-19,Veg Chilly Loaded Burger,75,99,Burger
2024-09-19,Desi Masala Crunch,75,119,Burger
2024-09-19,Punjabi Paneer,79,109,Burger
2024-09-19,Veg King Burger,33,99,Burger
2024-09-19,Paneer Supreme Burger,78,129,Burger
2024-09-19,Double Crispy Cheese Burger,57,129,Burger
2024-09-20,Aloo Tikki Burger,22,49,Burger
2024-09-20,Aloo Tikki Twist,43,69,Burger
2024-09-20,Veg Makhani,30,79,Burger
2024-09-20,Crispy Veg Burger,64,99,Burger
2024-09-20,Veg Chilly Loaded Burger,79,99,Burger
2024-09-20,Desi Masala Crunch,93,119,Burger
2024-09-20,Punjabi Paneer,25,109,Burger
2024-09-20,Veg King Burger,79,99,Burger
2024-09-20,Paneer Supreme Burger,84,129,Burger
2024-09-20,Double Crispy Cheese Burger,97,129,Burger
2024-09-21,Aloo Tikki Burger,48,49,Burger
2024-09-21,Aloo Tikki Twist,83,69,Burger
2024-09-21,Veg Makhani,52,79,Burger
2024-09-21,Crispy Veg Burger,64,99,Burger
2024-09-21,Veg Chilly Loaded Burger,43,99,Burger
2024-09-21,Desi Masala Crunch,46,119,Burger
2024-09-21,Punjabi Paneer,29,109,Burger
2024-09-21,Veg King Burger,55,99,Burger
2024-09-21,Paneer Supreme Burger,21,129,Burger
2024-09-21,Double Crispy Cheese Burger,78,129,Burger
2024-09-22,Aloo Tikki Burger,21,49,Burger
2024-09-22,Aloo Tikki Twist,33,69,Burger
2024-09-22,Veg Makhani,81,79,Burger
2024-09-22,Crispy Veg Burger,76,99,Burger
2024-09-22,Veg Chilly Loaded Burger,42,99,Burger
2024-09-22,Desi Masala Crunch,71,119,Burger
2024-09-22,Punjabi Paneer,96,109,Burger
2024-09-22,Veg King Burger,34,99,Burger
2024-09-22,Paneer Supreme Burger,32,129,Burger
2024-09-22,Double Crispy Cheese Burger,79,129,Burger
2024-09-23,Aloo Tikki Burger,32,49,Burger
2024-09-23,Aloo Tikki Twist,89,69,Burger
2024-09-23,Veg Makhani,67,79,Burger
2024-09-23,Crispy Veg Burger,33,99,Burger
2024-09-23,Veg Chilly Loaded Burger,78,99,Burger
2024-09-23,Desi Masala Crunch,59,119,Burger
2024-09-23,Punjabi Paneer,20,109,Burger
2024-09-23,Veg King Burger,92,99,Burger
2024-09-23,Paneer Supreme Burger,26,129,Burger
2024-09-23,Double Crispy Cheese Burger,80,129,Burger
2024-09-24,Aloo Tikki Burger,87,49,Burger
2024-09-24,Aloo Tikki Twist,50,69,Burger
2024-09-24,Veg Makhani,98,79,Burger
2024-09-24,Crispy Veg Burger,45,99,Burger
2024-09-24,Veg Chilly Loaded Burger,37,99,Burger
2024-09-24,Desi Masala Crunch,63,119,Burger
2024-09-24,Punjabi Paneer,52,109,Burger
2024-09-24,Veg King Burger,56,99,Burger
2024-09-24,Paneer Supreme Burger,35,129,Burger
2024-09-24,Double Crispy Cheese Burger,97,129,Burger
2024-09-25,Aloo Tikki Burger,41,49,Burger
2024-09-25,Aloo Tikki Twist,73,69,Burger
2024-09-25,Veg Makhani,43,79,Burger
2024-09-25,Crispy Veg Burger,42,99,Burger
2024-09-25,Veg Chilly Loaded Burger,73,99,Burger
2024-09-25,Desi Masala Crunch,71,119,Burger
2024-09-25,Punjabi Paneer,74,109,Burger
2024-09-25,Veg King Burger,36,99,Burger
2024-09-25,Paneer Supreme Burger,98,129,Burger
2024-09-25,Double Crispy Cheese Burger,92,129,Burger
2024-09-26,Aloo Tikki Burger,95,49,Burger
2024-09-26,Aloo Tikki Twist,77,69,Burger
2024-09-26,Veg Makhani,49,79,Burger
2024-09-26,Crispy Veg Burger,94,99,Burger
2024-09-26,Veg Chilly Loaded Burger,24,99,Burger
2024-09-26,Desi Masala Crunch,88,119,Burger
2024-09-26,Punjabi Paneer,40,109,Burger
2024-09-26,Veg King Burger,24,99,Burger
2024-09-26,Paneer Supreme Burger,21,129,Burger
2024-09-26,Double Crispy Cheese Burger,33,129,Burger
2024-09-27,Aloo Tikki Burger,77,49,Burger
2024-09-27,Aloo Tikki Twist,39,69,Burger
2024-09-27,Veg Makhani,70,79,Burger
2024-09-27,Crispy Veg Burger,69,99,Burger
2024-09-27,Veg Chilly Loaded Burger,91,99,Burger
2024-09-27,Desi Masala Crunch,52,119,Burger
2024-09-27,Punjabi Paneer,30,109,Burger
2024-09-27,Veg King Burger,63,99,Burger
2024-09-27,Paneer Supreme Burger,26,129,Burger
2024-09-27,Double Crispy Cheese Burger,69,129,Burger
2024-09-28,Aloo Tikki Burger,63,49,Burger
2024-09-28,Aloo Tikki Twist,40,69,Burger
2024-09-28,Veg Makhani,77,79,Burger
2024-09-28,Crispy Veg Burger,85,99,Burger
2024-09-28,Veg Chilly Loaded Burger,38,99,Burger
2024-09-28,Desi Masala Crunch,40,119,Burger
2024-09-28,Punjabi Paneer,78,109,Burger
2024-09-28,Veg King Burger,57,99,Burger
2024-09-28,Paneer Supreme Burger,75,129,Burger
2024-09-28,Double Crispy Cheese Burger,98,129,Burger
2024-09-29,Aloo Tikki Burger,68,49,Burger
2024-09-29,Aloo Tikki Twist,25,69,Burger
2024-09-29,Veg Makhani,81,79,Burger
2024-09-29,Crispy Veg Burger,46,99,Burger
2024-09-29,Veg Chilly Loaded Burger,86,99,Burger
2024-09-29,Desi Masala Crunch,23,119,Burger
2024-09-29,Punjabi Paneer,73,109,Burger
2024-09-29,Veg King Burger,54,99,Burger
2024-09-29,Paneer Supreme Burger,99,129,Burger
2024-09-29,Double Crispy Cheese Burger,62,129,Burger
2024-09-30,Aloo Tikki Burger,48,49,Burger
2024-09-30,Aloo Tikki Twist,75,69,Burger
2024-09-30,Veg Makhani,24,79,Burger
2024-09-30,Crispy Veg Burger,85,99,Burger
2024-09-30,Veg Chilly Loaded Burger,77,99,Burger
2024-09-30,Desi Masala Crunch,27,119,Burger
2024-09-30,Punjabi Paneer,54,109,Burger
2024-09-30,Veg King Burger,37,99,Burger
2024-09-30,Paneer Supreme Burger,80,129,Burger
2024-09-30,Double Crispy Cheese Burger,86,129,Burger
